id,name,name_en,country,province,longitude,latitude,timezone,population,capital
67,艾哈迈达巴德,Ahmedabad,India,Gujarāt,72.5797,23.0219,Asia/Kolkata,8009000,minor
68,达累斯萨拉姆,Dar es Salaam,Tanzania,Dar es Salaam,39.2803,-6.8161,Africa/Dar_es_Salaam,7962000,admin
69,喀土穆,Khartoum,Sudan,Khartoum,32.5265,15.6031,UTC,7869000,primary
70,商丘,Shangqiu,China,河南,115.6467,34.4259,Asia/Shanghai,7816831,
71,大连,Dalian,China,辽宁,121.6,38.9,Asia/Shanghai,7450785,
72,Hong Kong,Hong Kong,Hong Kong,,114.1586,22.2783,Asia/Hong_Kong,7450000,primary
73,沧州,Cangzhou,China,河北,116.8452,38.3037,Asia/Shanghai,7300783,minor
74,利雅得,Riyadh,Saudi Arabia,Ar Riyāḑ,46.71,24.65,Asia/Riyadh,7237000,primary
75,万隆,Bandung,Indonesia,Jawa Barat,107.6071,-6.9218,Asia/Jakarta,7203000,admin
76,圣地亚哥,Santiago,Chile,Región Metropolitana,-70.65,-33.4375,America/Santiago,7171000,primary
77,邢台,Xingtai,China,河北,114.4753,37.0659,Asia/Shanghai,7111106,minor
78,驻马店,Zhumadian,China,河南,114.0253,32.9773,Asia/Shanghai,7008427,
79,湛江,Zhanjiang,China,广东,110.4031,21.1967,Asia/Shanghai,6981236,minor
80,毕节,Bijie,China,贵州,105.2863,27.3019,Asia/Shanghai,6899636,
81,Rangoon,Rangoon,Burma,Yangon,96.1561,16.8053,Asia/Yangon,6874000,primary
82,盐城,Yancheng,China,江苏,120.1569,33.35,Asia/Shanghai,6709629,minor
83,衡阳,Hengyang,China,湖南,112.5857,26.8968,Asia/Shanghai,6645243,
84,遵义,Zunyi,China,贵州,106.9336,27.705,Asia/Shanghai,6606675,
85,邵阳,Shaoyang,China,湖南,111.4725,27.2418,Asia/Shanghai,6563520,
86,泗水,Surabaya,Indonesia,Jawa Timur,112.7378,-7.2463,Asia/Jakarta,6556000,admin
87,Surat,Surat,India,Gujarāt,72.84,21.205,Asia/Kolkata,6538000,
88,上饶,Shangrao,China,江西,117.9633,28.4419,Asia/Shanghai,6491088,minor
89,迈阿密,Miami,United States,Florida,-80.2101,25.784,America/New_York,6391670,
90,黄冈,Huanggang,China,湖北,114.875,30.45,Asia/Shanghai,6333000,minor
91,茂名,Maoming,China,广东,110.9178,21.6618,Asia/Shanghai,6313200,minor
92,信阳,Xinyang,China,河南,114.0672,32.1264,Asia/Shanghai,6234401,
93,休斯顿,Houston,United States,Texas,-95.3885,29.786,America/New_York,6227666,
94,马德里,Madrid,Spain,Madrid,-3.7033,40.4169,Europe/Madrid,6211000,primary
95,新加坡,Singapore,Singapore,,103.8,1.3,Asia/Singapore,5983000,primary
96,达拉斯,Dallas,United States,Texas,-96.7667,32.7935,America/New_York,5968322,
97,Prayagraj,Prayagraj,India,Uttar Pradesh,81.85,25.45,Asia/Kolkata,5954391,
98,聊城,Liaocheng,China,山东,115.9833,36.45,Asia/Shanghai,5952128,minor
