id,name,name_en,country,province,longitude,latitude,timezone,population,capital
14372,Pambujan,Pambujan,Philippines,Northern Samar,124.9333,12.5667,Asia/Manila,34174,
14373,Tiruvur,Tiruvur,India,Andhra Pradesh,80.6,17.1,Asia/Kolkata,34173,
14374,Znojmo,Znojmo,Czechia,Jihomoravský Kraj,16.0488,48.8555,Europe/Prague,34172,
14375,Batajnica,Batajnica,Serbia,Beograd,20.2814,44.9022,Europe/Belgrade,34169,
14376,Bor,Bor,Serbia,Borski,22.1036,44.1303,Europe/Belgrade,34159,admin
14377,Tepeji del Rio de Ocampo,Tepeji del Rio de Ocampo,Mexico,Hidalgo,-99.3417,19.9053,America/Mexico_City,34151,
14378,Statesboro,Statesboro,United States,Georgia,-81.7751,32.4375,America/New_York,34149,
14379,Vechta,Vechta,Germany,Lower Saxony,8.2886,52.7306,Europe/Berlin,34145,minor
14380,Yasynuvata,Yasynuvata,Ukraine,Donetska Oblast,37.8333,48.1167,Europe/Kyiv,34144,minor
14381,Gurupa,Gurupa,Brazil,Pará,-51.64,-1.405,America/Sao_Paulo,34137,minor
14382,Meridian,Meridian,United States,Mississippi,-88.6896,32.3846,America/New_York,34137,
14383,Kokrajhar,Kokrajhar,India,Assam,90.27,26.4,Asia/Kolkata,34136,
14384,Risod,Risod,India,Mahārāshtra,76.78,19.97,Asia/Kolkata,34136,
14385,Dimona,Dimona,Israel,Southern,35.03,31.07,Asia/Jerusalem,34135,
14386,Caldono,Caldono,Colombia,Cauca,-76.4828,2.7969,America/Bogota,34132,minor
14387,Englewood,Englewood,United States,Colorado,-104.9942,39.6468,America/New_York,34129,
14388,Harker Heights,Harker Heights,United States,Texas,-97.6446,31.0572,America/New_York,34128,
14389,Takhemaret,Takhemaret,Algeria,Tiaret,0.6833,35.1072,Africa/Algiers,34124,
14390,Olutanga,Olutanga,Philippines,Zamboanga Sibugay,122.8464,7.3106,Asia/Manila,34124,
14391,Westmont,Westmont,United States,California,-118.3018,33.9417,America/New_York,34123,
14392,Almora,Almora,India,Uttarākhand,79.67,29.62,Asia/Kolkata,34122,
14393,Brejo,Brejo,Brazil,Maranhão,-42.75,-3.6839,America/Sao_Paulo,34120,minor
14394,San Agustin,San Agustin,Colombia,Huila,-76.2683,1.8792,America/Bogota,34120,minor
14395,Shiso,Shiso,Japan,Hyōgo,134.5494,35.0044,Asia/Tokyo,34116,
14396,Derry,Derry,United States,New Hampshire,-71.2804,42.8888,America/New_York,34116,
14397,Balarampur,Balarampur,India,West Bengal,89.5863,26.2432,Asia/Kolkata,34113,
14398,Uonuma,Uonuma,Japan,Niigata,138.9638,37.2364,Asia/Tokyo,34112,
14399,Cravinhos,Cravinhos,Brazil,São Paulo,-47.7294,-21.3403,America/Sao_Paulo,34110,minor
14400,Montgomery Village,Montgomery Village,United States,Maryland,-77.1954,39.1788,America/New_York,34110,
14401,Mawlamyinegyunn,Mawlamyinegyunn,Burma,Ayeyarwady,95.2667,16.3833,Asia/Yangon,34107,
14402,Fungurume,Fungurume,Congo (Kinshasa),Lualaba,26.3095,-10.6174,UTC,34104,
14403,Guindulman,Guindulman,Philippines,Bohol,124.4878,9.7629,Asia/Manila,34104,
14404,Westlake,Westlake,United States,Ohio,-81.9294,41.4524,America/New_York,34104,
14405,Santa Maria,Santa Maria,Philippines,Laguna,121.425,14.475,Asia/Manila,34102,
14406,Leduc,Leduc,Canada,Alberta,-113.5492,53.2594,America/Toronto,34094,
14407,Cranberry,Cranberry,United States,Pennsylvania,-80.1059,40.7104,America/New_York,34094,
14408,Mayantoc,Mayantoc,Philippines,Tarlac,120.3775,15.6203,Asia/Manila,34091,
14409,Rainham,Rainham,United Kingdom,Medway,0.61,51.36,Europe/London,34088,
14410,Rethymno,Rethymno,Greece,Kríti,24.4739,35.3689,Europe/Athens,34085,minor
14411,Beaufort West,Beaufort West,South Africa,Western Cape,22.5833,-32.35,Africa/Johannesburg,34085,
14412,Crema,Crema,Italy,Lombardy,9.6833,45.3667,Europe/Rome,34074,
14413,Titlagarh,Titlagarh,India,Odisha,83.1511,20.2886,Asia/Kolkata,34067,
14414,Waris Aliganj,Waris Aliganj,India,Bihār,85.63,25.01,Asia/Kolkata,34056,
14415,Balimbing,Balimbing,Philippines,Lanao del Norte,123.8413,7.9035,Asia/Manila,34053,
14416,Voznesensk,Voznesensk,Ukraine,Mykolaivska Oblast,31.3119,47.5725,Europe/Kyiv,34050,minor
14417,Gbarnga,Gbarnga,Liberia,Bong,-9.4667,7.0022,UTC,34046,admin
14418,Podgorze,Podgorze,Poland,Małopolskie,19.9489,50.0442,Europe/Warsaw,34045,
14419,Lommel,Lommel,Belgium,Flanders,5.311,51.2317,Europe/Brussels,34044,
14420,Pagani,Pagani,Italy,Campania,14.6167,40.7417,Europe/Rome,34044,
14421,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,Belgium,Flanders,4.25,50.7833,Europe/Brussels,34038,
14422,Sao Domingos do Maranhao,Sao Domingos do Maranhao,Brazil,Maranhão,-44.385,-5.5758,America/Sao_Paulo,34034,minor
14423,Spisska Nova Ves,Spisska Nova Ves,Slovakia,Košice,20.5667,48.95,UTC,34023,minor
14424,Petrel,Petrel,Spain,Valencia,-0.7696,38.4845,Europe/Madrid,34022,
14425,Spanaway,Spanaway,United States,Washington,-122.4233,47.0979,America/New_York,34019,
14426,Jalajala,Jalajala,Philippines,Rizal,121.3225,14.353,Asia/Manila,34017,
14427,Rudarpur,Rudarpur,India,Uttar Pradesh,83.6131,26.4447,Asia/Kolkata,34014,
14428,Mirnyy,Mirnyy,Russia,Sakha (Yakutiya),113.95,62.5333,Europe/Moscow,34013,minor
14429,San Juan Nepomuceno,San Juan Nepomuceno,Colombia,Bolívar,-75.0811,9.9522,America/Bogota,34012,minor
14430,Minamishiro,Minamishiro,Japan,Saitama,139.7227,36.0227,Asia/Tokyo,34012,
14431,Majagual,Majagual,Colombia,Sucre,-74.6297,8.5408,America/Bogota,34010,minor
14432,Divandarreh,Divandarreh,Iran,Kordestān,47.0239,35.9139,Asia/Tehran,34007,minor
14433,Villa Dolores,Villa Dolores,Argentina,Córdoba,-65.2,-31.9333,America/Argentina/Buenos_Aires,34005,
14434,Quinchia,Quinchia,Colombia,Risaralda,-75.7294,5.3394,America/Bogota,34005,minor
14435,Onesti,Onesti,Romania,Bacău,26.7667,46.25,Europe/Bucharest,34005,
14436,Gibraltar,Gibraltar,Gibraltar,,-5.35,36.14,UTC,34003,primary
14437,Koryazhma,Koryazhma,Russia,Arkhangel’skaya Oblast’,47.1667,61.3,Europe/Moscow,34002,minor
14438,Tamra,Tamra,Israel,Northern,35.2071,32.8511,Asia/Jerusalem,34000,
14439,Ankazomiriotra,Ankazomiriotra,Madagascar,Antananarivo,46.5,-19.65,UTC,34000,
14440,Lushoto,Lushoto,Tanzania,Tanga,38.2833,-4.7833,Africa/Dar_es_Salaam,34000,
14441,Uelzen,Uelzen,Germany,Lower Saxony,10.5658,52.9647,Europe/Berlin,33991,minor
14442,Nurlat,Nurlat,Russia,Tatarstan,50.8,54.4333,Europe/Moscow,33990,minor
14443,Letchworth,Letchworth,United Kingdom,Hertfordshire,-0.23,51.978,Europe/London,33986,
14444,Kallidaikurichi,Kallidaikurichi,India,Tamil Nādu,77.4659,8.6859,Asia/Kolkata,33984,
14445,Houilles,Houilles,France,Île-de-France,2.1883,48.9256,Europe/Paris,33983,
14446,Menen,Menen,Belgium,Flanders,3.1217,50.7956,Europe/Brussels,33982,
14447,Eastpointe,Eastpointe,United States,Michigan,-82.9461,42.4657,America/New_York,33982,
14448,Vassouras,Vassouras,Brazil,Rio de Janeiro,-43.6628,-22.4039,America/Sao_Paulo,33976,minor
14449,Eastchester,Eastchester,United States,New York,-73.8133,40.9536,America/New_York,33974,
14450,Angri,Angri,Italy,Campania,14.5694,40.7431,Europe/Rome,33972,
14451,Le Port,Le Port,Reunion,,55.2872,-20.9394,UTC,33969,
14452,Deer Park,Deer Park,United States,Texas,-95.1151,29.6898,America/New_York,33967,
14453,Milaor,Milaor,Philippines,Camarines Sur,123.1772,13.5961,Asia/Manila,33963,
14454,Kignan,Kignan,Mali,Sikasso,-6.0164,11.8553,UTC,33962,
14455,Sharypovo,Sharypovo,Russia,Krasnoyarskiy Kray,89.2,55.525,Europe/Moscow,33961,minor
14456,Elanjivaliseri,Elanjivaliseri,India,Kerala,76.6667,8.95,Asia/Kolkata,33959,
14457,Cieszyn,Cieszyn,Poland,Śląskie,18.6333,49.75,Europe/Warsaw,33958,minor
14458,Aranda de Duero,Aranda de Duero,Spain,Castille-Leon,-3.6864,41.6714,Europe/Madrid,33956,
14459,Acatlan de Osorio,Acatlan de Osorio,Mexico,Puebla,-98.0486,18.2033,America/Mexico_City,33954,
14460,Lochem,Lochem,Netherlands,Gelderland,6.4158,52.1606,Europe/Amsterdam,33948,minor
14461,Kakata,Kakata,Liberia,Margibi,-10.3517,6.53,UTC,33945,admin
14462,Likino-Dulevo,Likino-Dulevo,Russia,Moskovskaya Oblast’,38.95,55.7,Europe/Moscow,33945,
14463,Lanciano,Lanciano,Italy,Abruzzo,14.3905,42.2312,Europe/Rome,33944,
14464,Woodridge,Woodridge,United States,Illinois,-88.0409,41.737,America/New_York,33941,
14465,Annigeri,Annigeri,India,Karnātaka,75.4335,15.4251,Asia/Kolkata,33937,
14466,San Jose Poaquil,San Jose Poaquil,Guatemala,Chimaltenango,-90.9,14.8167,UTC,33932,minor
14467,Batan,Batan,Philippines,Aklan,122.4981,11.5853,Asia/Manila,33932,
14468,Uttaradit,Uttaradit,Thailand,Uttaradit,100.0942,17.6256,Asia/Bangkok,33930,admin
14469,San Juan Evangelista,San Juan Evangelista,Mexico,Veracruz,-95.1742,17.7224,America/Mexico_City,33929,minor
14470,Bassin Bleu,Bassin Bleu,Haiti,Nord-Ouest,-72.8,19.7833,UTC,33926,
14471,Pulgaon,Pulgaon,India,Mahārāshtra,78.317,20.726,Asia/Kolkata,33925,
14472,Walla Walla,Walla Walla,United States,Washington,-118.3368,46.0671,America/New_York,33925,
14473,Ponmala,Ponmala,India,Kerala,76.0432,11.0221,Asia/Kolkata,33922,
14474,Starokostiantyniv,Starokostiantyniv,Ukraine,Khmelnytska Oblast,27.2208,49.7556,Europe/Kyiv,33921,minor
14475,Vallentuna,Vallentuna,Sweden,Stockholm,18.0825,59.5012,Europe/Stockholm,33918,minor
14476,Alabaster,Alabaster,United States,Alabama,-86.8225,33.2198,America/New_York,33917,
14477,Hemer,Hemer,Germany,North Rhine-Westphalia,7.7667,51.3833,Europe/Berlin,33916,
14478,Oued el Alleug,Oued el Alleug,Algeria,Tipaza,2.7833,36.55,Africa/Algiers,33915,
14479,Billingham,Billingham,United Kingdom,Stockton-on-Tees,-1.27,54.61,Europe/London,33915,
14480,Aznakayevo,Aznakayevo,Russia,Tatarstan,53.0667,54.85,Europe/Moscow,33905,minor
14481,Curralinho,Curralinho,Brazil,Pará,-49.795,-1.8139,America/Sao_Paulo,33903,minor
14482,Mulavur,Mulavur,India,Kerala,76.6056,10.0111,Asia/Kolkata,33901,
14483,Adrano,Adrano,Italy,Sicilia,14.8356,37.6625,Europe/Rome,33899,
14484,Ganassi,Ganassi,Philippines,Lanao del Sur,124.1034,7.8269,Asia/Manila,33897,
14485,Reo,Reo,Burkina Faso,Centre-Ouest,-2.4667,12.3167,UTC,33893,minor
14486,West Little River,West Little River,United States,Florida,-80.2367,25.8571,America/New_York,33890,
14487,Tabango,Tabango,Philippines,Leyte,124.3714,11.3067,Asia/Manila,33888,
14488,Navan,Navan,Ireland,Meath,-6.6814,53.6528,Europe/Dublin,33886,
14489,Timbio,Timbio,Colombia,Cauca,-76.6819,2.3528,America/Bogota,33883,minor
14490,Canyon Lake,Canyon Lake,United States,Texas,-98.2611,29.8761,America/New_York,33883,
14491,圣地亚哥,Santiago,Philippines,Agusan del Norte,125.5602,9.2654,Asia/Manila,33877,
14492,Toda Bhim,Toda Bhim,India,Rājasthān,76.8167,26.9167,Asia/Kolkata,33876,
14493,Byadgi,Byadgi,India,Karnātaka,75.4868,14.6733,Asia/Kolkata,33875,
14494,Itiuba,Itiuba,Brazil,Bahia,-39.8528,-10.6908,America/Sao_Paulo,33872,minor
14495,Vac,Vac,Hungary,Pest,19.1311,47.7753,Europe/Budapest,33871,minor
14496,Petrovaradin,Petrovaradin,Serbia,JuÅ¾no-Backi,19.8667,45.25,Europe/Belgrade,33865,minor
14497,Landskrona,Landskrona,Sweden,Skåne,12.837,55.8794,Europe/Stockholm,33859,minor
14498,Gerakas,Gerakas,Greece,Attikí,23.8575,38.0228,Europe/Athens,33856,minor
14499,Palmeira,Palmeira,Brazil,Paraná,-50.0058,-25.4289,America/Sao_Paulo,33855,minor
14500,Sneek,Sneek,Netherlands,Fryslân,5.66,53.0325,Europe/Amsterdam,33855,minor
14501,Sao Luis de Montes Belos,Sao Luis de Montes Belos,Brazil,Goiás,-50.3719,-16.525,America/Sao_Paulo,33852,minor
14502,Trinec,Trinec,Czechia,Moravskoslezský Kraj,18.6708,49.6776,Europe/Prague,33852,
14503,Selmane,Selmane,Algeria,M’sila,4.7833,35.6833,Africa/Algiers,33851,
14504,Nuoro,Nuoro,Italy,Sardegna,9.3281,40.3201,Europe/Rome,33850,minor
14505,Baclaran,Baclaran,Philippines,Parañaque,120.9968,14.5325,Asia/Manila,33850,
14506,Rheinfelden (Baden),Rheinfelden (Baden),Germany,Baden-Württemberg,7.7917,47.5611,Europe/Berlin,33849,
14507,Beni Tamou,Beni Tamou,Algeria,Blida,2.816,36.5365,Africa/Algiers,33846,
14508,Oeiras do Para,Oeiras do Para,Brazil,Pará,-49.8539,-2.0028,America/Sao_Paulo,33844,minor
14509,Buyende,Buyende,Uganda,Buyende,33.15,1.18,UTC,33843,admin
14510,Carmel,Carmel,United States,New York,-73.7239,41.3899,America/New_York,33837,
14511,Aracoiaba da Serra,Aracoiaba da Serra,Brazil,São Paulo,-47.6142,-23.5053,America/Sao_Paulo,33832,minor
14512,Jaslo,Jaslo,Poland,Podkarpackie,21.4667,49.7333,Europe/Warsaw,33830,minor
14513,Edappalli,Edappalli,India,Kerala,76.3,9.8167,Asia/Kolkata,33829,
14514,San Martin Sacatepequez,San Martin Sacatepequez,Guatemala,Quetzaltenango,-91.6425,14.8246,UTC,33826,minor
14515,Strumica,Strumica,North Macedonia,Strumica,22.6431,41.4375,Europe/Skopje,33825,admin
14516,Harima,Harima,Japan,Hyōgo,134.8681,34.7152,Asia/Tokyo,33822,
14517,Tekkebhagam,Tekkebhagam,India,Kerala,76.5667,9.4361,Asia/Kolkata,33819,
14518,IJsselstein,IJsselstein,Netherlands,Utrecht,5.0422,52.02,Europe/Amsterdam,33819,minor
14519,Bogorodsk,Bogorodsk,Russia,Nizhegorodskaya Oblast’,43.5072,56.0997,Europe/Moscow,33818,minor
14520,Parras de la Fuente,Parras de la Fuente,Mexico,Coahuila,-102.1836,25.4369,America/Mexico_City,33817,minor
14521,San Antonio de los Banos,San Antonio de los Banos,Cuba,Artemisa,-82.4989,22.8889,UTC,33811,minor
14522,Rio Verde Arriba,Rio Verde Arriba,Dominican Republic,Cibao Sur,-70.57,19.32,UTC,33809,
14523,Bad Nauheim,Bad Nauheim,Germany,Hesse,8.75,50.3667,Europe/Berlin,33809,
14524,Leawood,Leawood,United States,Kansas,-94.6258,38.9075,America/New_York,33809,
14525,Erie,Erie,United States,Colorado,-105.0399,40.0404,America/New_York,33808,
14526,Arima,Arima,Trinidad and Tobago,Arima,-61.2792,10.625,UTC,33807,admin
14527,Radebeul,Radebeul,Germany,Saxony,13.67,51.1033,Europe/Berlin,33804,
14528,Aguimes,Aguimes,Spain,Canary Islands,-15.4333,27.8833,Europe/Madrid,33800,
14529,Inhambupe,Inhambupe,Brazil,Bahia,-38.3528,-11.7839,America/Sao_Paulo,33790,minor
14530,Banate,Banate,Philippines,Iloilo,122.7833,11.05,Asia/Manila,33790,
14531,Newbury,Newbury,United Kingdom,West Berkshire,-1.323,51.401,Europe/London,33790,
14532,San Dimas,San Dimas,United States,California,-117.809,34.1082,America/New_York,33789,
14533,Somoto,Somoto,Nicaragua,Madriz,-86.5826,13.4837,UTC,33788,admin
14534,San Juan Bautista,San Juan Bautista,Paraguay,Misiones,-57.1667,-26.6333,America/Asuncion,33785,admin
14535,Beni Slimane,Beni Slimane,Algeria,Médéa,3.306,36.227,Africa/Algiers,33779,
14536,Ongwediva,Ongwediva,Namibia,Oshana,15.7667,-17.7833,UTC,33777,
14537,Ghazaouet,Ghazaouet,Algeria,Tlemcen,-1.8604,35.0939,Africa/Algiers,33774,
14538,Braco do Norte,Braco do Norte,Brazil,Santa Catarina,-49.1658,-28.275,America/Sao_Paulo,33773,minor
14539,Puerto Rico,Puerto Rico,Colombia,Caquetá,-75.1593,1.91,America/Bogota,33765,minor
14540,Kaka,Kaka,Turkmenistan,Ahal,59.6,37.35,Asia/Ashgabat,33759,
14541,Narsipatnam,Narsipatnam,India,Andhra Pradesh,82.62,17.67,Asia/Kolkata,33757,
14542,Zhmerynka,Zhmerynka,Ukraine,Vinnytska Oblast,28.0992,49.0425,Europe/Kyiv,33754,minor
14543,Seguin,Seguin,United States,Texas,-97.9676,29.5891,America/New_York,33754,
14544,Nautanwa,Nautanwa,India,Uttar Pradesh,83.42,27.43,Asia/Kolkata,33753,
14545,Dakota Ridge,Dakota Ridge,United States,Colorado,-105.1344,39.6192,America/New_York,33753,
14546,Martinez,Martinez,United States,Georgia,-82.0985,33.5209,America/New_York,33750,
14547,Varzea da Palma,Varzea da Palma,Brazil,Minas Gerais,-44.7308,-17.5978,America/Sao_Paulo,33744,minor
14548,Mosonmagyarovar,Mosonmagyarovar,Hungary,Győr-Moson-Sopron,17.2667,47.8667,Europe/Budapest,33743,minor
14549,Mankoeng,Mankoeng,South Africa,Limpopo,29.718,-23.886,Africa/Johannesburg,33738,
14550,Zacatlan,Zacatlan,Mexico,Puebla,-97.9606,19.9333,America/Mexico_City,33736,minor
14551,Saint George's,Saint George's,Grenada,Saint George,-61.7531,12.0525,UTC,33734,primary
14552,Ojiya,Ojiya,Japan,Niigata,138.7951,37.3144,Asia/Tokyo,33729,
14553,Jaguaribe,Jaguaribe,Brazil,Ceará,-38.6219,-5.8908,America/Sao_Paulo,33726,minor
14554,Barreirinha,Barreirinha,Brazil,Amazonas,-57.0686,-2.8025,America/Sao_Paulo,33722,minor
14555,Kovin,Kovin,Serbia,JuÅ¾no-Banatski,20.9761,44.7475,Europe/Belgrade,33722,admin
14556,Azezo,Azezo,Ethiopia,Āmara,37.4308,12.5586,Africa/Addis_Ababa,33719,
14557,Karaagac,Karaagac,Turkey,Hatay,36.1333,36.5667,Europe/Istanbul,33718,
14558,Radnor,Radnor,United States,Pennsylvania,-75.3675,40.0287,America/New_York,33718,
14559,Zapotiltic,Zapotiltic,Mexico,Jalisco,-103.3333,19.6167,America/Mexico_City,33713,minor
14560,Americo Brasiliense,Americo Brasiliense,Brazil,São Paulo,-48.1114,-21.7361,America/Sao_Paulo,33708,minor
14561,Grodzisk Mazowiecki,Grodzisk Mazowiecki,Poland,Mazowieckie,20.625,52.1089,Europe/Warsaw,33708,minor
14562,Vemalwada,Vemalwada,India,Telangāna,78.8833,18.4667,Asia/Kolkata,33706,
14563,Samokov,Samokov,Bulgaria,Sofia,23.55,42.33,Europe/Sofia,33703,
14564,Irvine,Irvine,United Kingdom,North Ayrshire,-4.6614,55.6201,Europe/London,33698,
14565,Somma Vesuviana,Somma Vesuviana,Italy,Campania,14.4369,40.8725,Europe/Rome,33697,
14566,Marignane,Marignane,France,Provence-Alpes-Côte d’Azur,5.2147,43.4169,Europe/Paris,33692,
14567,Kasba,Kasba,India,Bihār,87.5384,25.8564,Asia/Kolkata,33691,
14568,Ronda,Ronda,Spain,Andalusia,-5.1647,36.7372,Europe/Madrid,33671,
14569,Pierrefitte-sur-Seine,Pierrefitte-sur-Seine,France,Île-de-France,2.3608,48.9647,Europe/Paris,33670,
14570,Mella,Mella,Cuba,Santiago de Cuba,-75.9111,20.3694,UTC,33667,
14571,Moose Jaw,Moose Jaw,Canada,Saskatchewan,-105.5519,50.3933,America/Toronto,33665,
14572,Penha,Penha,Brazil,Santa Catarina,-48.6458,-26.7689,America/Sao_Paulo,33663,minor
14573,Villa Riva,Villa Riva,Dominican Republic,Cibao Nordeste,-69.92,19.18,UTC,33663,
14574,San Antero,San Antero,Colombia,Córdoba,-75.7603,9.3775,America/Bogota,33662,minor
14575,Xinbu,Xinbu,Taiwan,Hsinchu,121.096,24.8478,Asia/Taipei,33655,
14576,Ylojarvi,Ylojarvi,Finland,Pirkanmaa,23.5833,61.55,Europe/Helsinki,33653,minor
14577,Barhadashi,Barhadashi,Nepal,Province Number One,87.92,26.55,Asia/Kathmandu,33653,
14578,Helena,Helena,United States,Montana,-112.0202,46.5965,America/New_York,33639,admin
14579,Schwedt (Oder),Schwedt (Oder),Germany,Brandenburg,14.2831,53.0631,Europe/Berlin,33635,
14580,Demnat,Demnat,Morocco,Béni Mellal-Khénifra,-7.0361,31.7311,Africa/Casablanca,33635,
14581,Houlong,Houlong,Taiwan,Miaoli,120.7833,24.6167,Asia/Taipei,33623,
14582,Chester,Chester,United States,Pennsylvania,-75.3718,39.8456,America/New_York,33619,
14583,Koryo,Koryo,Japan,Nara,135.7509,34.5427,Asia/Tokyo,33617,
14584,Forchheim,Forchheim,Germany,Bavaria,11.0581,49.7197,Europe/Berlin,33610,minor
14585,`Ajab Shir,`Ajab Shir,Iran,Āz̄arbāyjān-e Sharqī,45.8942,37.4775,Asia/Tehran,33606,minor
14586,Frias,Frias,Argentina,Santiago del Estero,-65.1333,-28.6333,America/Argentina/Buenos_Aires,33605,minor
14587,Binche,Binche,Belgium,Wallonia,4.1652,50.4103,Europe/Brussels,33598,
14588,Dipaculao,Dipaculao,Philippines,Aurora,121.6333,15.9833,Asia/Manila,33597,
14589,Marogong,Marogong,Philippines,Lanao del Sur,124.1478,7.6787,Asia/Manila,33595,
14590,Morro do Chapeu,Morro do Chapeu,Brazil,Bahia,-41.157,-11.55,America/Sao_Paulo,33594,minor
14591,Batouri,Batouri,Cameroon,Est,14.3667,4.4333,UTC,33594,
14592,Koh Kong,Koh Kong,Cambodia,Koh Kong,102.9833,11.6167,Asia/Phnom_Penh,33591,admin
14593,Elmina,Elmina,Ghana,Central,-1.35,5.0833,Africa/Accra,33576,
14594,Daganbhuiya,Daganbhuiya,Bangladesh,Chattogram,91.3,22.9333,Asia/Dhaka,33574,
14595,Iriba,Iriba,Chad,Wadi-Fira,22.25,15.1167,UTC,33572,
14596,Qadsayya,Qadsayya,Syria,Rīf Dimashq,36.2167,33.5333,Asia/Damascus,33571,minor
14597,Pitanga,Pitanga,Brazil,Paraná,-51.7608,-24.7569,America/Sao_Paulo,33567,minor
14598,Rosamorada,Rosamorada,Mexico,Nayarit,-105.2542,22.1231,America/Mexico_City,33567,minor
14599,Maassluis,Maassluis,Netherlands,Zuid-Holland,4.2567,51.9189,Europe/Amsterdam,33567,minor
14600,Konakovo,Konakovo,Russia,Tverskaya Oblast’,36.7783,56.7129,Europe/Moscow,33560,minor
14601,Mussende,Mussende,Angola,Cuanza-Sul,16.0107,-10.5103,UTC,33558,
14602,Aleshtar,Aleshtar,Iran,Lorestān,48.2617,33.8631,Asia/Tehran,33558,minor
14603,Bagh,Bagh,Pakistan,Azad Kashmir,73.7747,33.9803,Asia/Karachi,33548,minor
14604,Sun City Center,Sun City Center,United States,Florida,-82.3569,27.715,America/New_York,33548,
14605,Winsford,Winsford,United Kingdom,Cheshire West and Chester,-2.52,53.194,Europe/London,33546,
14606,Chavakkad,Chavakkad,India,Kerala,76.041,10.582,Asia/Kolkata,33543,
14607,Ixtapan de la Sal,Ixtapan de la Sal,Mexico,México,-99.6753,18.8442,America/Mexico_City,33541,minor
14608,Petersburg,Petersburg,United States,Virginia,-77.3913,37.2043,America/New_York,33537,
14609,Port Moody,Port Moody,Canada,British Columbia,-122.8317,49.2831,America/Toronto,33535,
14610,Acornhoek,Acornhoek,South Africa,Limpopo,31.097,-24.593,Africa/Johannesburg,33529,
14611,Ayorou,Ayorou,Niger,Tillabéri,0.9104,14.7328,UTC,33527,
14612,Pikesville,Pikesville,United States,Maryland,-76.702,39.3893,America/New_York,33524,
14613,Clearfield,Clearfield,United States,Utah,-112.0238,41.103,America/New_York,33523,
14614,Chumphon,Chumphon,Thailand,Chumphon,99.18,10.4939,Asia/Bangkok,33516,admin
14615,Bhere,Bhere,Nepal,Karṇālī,82.1981,28.6981,Asia/Kathmandu,33515,
14616,Slantsy,Slantsy,Russia,Leningradskaya Oblast’,28.0881,59.1178,Europe/Moscow,33514,minor
14617,Sidi Okba,Sidi Okba,Algeria,Biskra,5.9,34.75,Africa/Algiers,33509,
14618,Come,Come,Benin,Mono,1.8833,6.4,UTC,33507,
14619,Ribeirao,Ribeirao,Brazil,Pernambuco,-35.3778,-8.5139,America/Sao_Paulo,33507,minor
14620,San Vicente,San Vicente,Philippines,Palawan,119.2687,10.5156,Asia/Manila,33507,
14621,Gorizia,Gorizia,Italy,Friuli Venezia Giulia,13.6193,45.9352,Europe/Rome,33506,minor
14622,Niangoloko,Niangoloko,Burkina Faso,Cascades,-4.9167,10.2833,UTC,33500,
14623,Kamenka,Kamenka,Russia,Penzenskaya Oblast’,44.05,53.1833,Europe/Moscow,33491,
14624,Corinto,Corinto,Colombia,Cauca,-76.2594,3.1739,America/Bogota,33489,minor
14625,Chempalli,Chempalli,India,Puducherry,75.4583,12.101,Asia/Kolkata,33489,
14626,Floresta,Floresta,Brazil,Pernambuco,-38.5678,-8.6008,America/Sao_Paulo,33488,minor
14627,Pointe-Claire,Pointe-Claire,Canada,Quebec,-73.8167,45.45,America/Toronto,33488,
14628,Nelson,Nelson,United Kingdom,Lancashire,-2.218,53.8346,Europe/London,33488,
14629,Getafe,Getafe,Philippines,Bohol,124.15,10.15,Asia/Manila,33485,
14630,Lower Makefield,Lower Makefield,United States,Pennsylvania,-74.855,40.2309,America/New_York,33485,
14631,Lupi Viejo,Lupi Viejo,Philippines,Camarines Sur,122.9092,13.7908,Asia/Manila,33474,
14632,Warminster,Warminster,United States,Pennsylvania,-75.0915,40.2043,America/New_York,33470,
14633,Ben Ahmed,Ben Ahmed,Morocco,Casablanca-Settat,-7.2436,33.0714,Africa/Casablanca,33469,
14634,Romans-sur-Isere,Romans-sur-Isere,France,Auvergne-Rhône-Alpes,5.0508,45.0456,Europe/Paris,33464,
14635,Aragua de Barcelona,Aragua de Barcelona,Venezuela,Anzoátegui,-64.8261,9.4575,America/Caracas,33464,minor
14636,Olkusz,Olkusz,Poland,Małopolskie,19.5597,50.2792,Europe/Warsaw,33462,minor
14637,Coxim,Coxim,Brazil,Mato Grosso do Sul,-54.76,-18.5067,America/Sao_Paulo,33459,minor
14638,Badr,Badr,Egypt,Al Qāhirah,31.715,30.136,Africa/Cairo,33456,
14639,Castro-Urdiales,Castro-Urdiales,Spain,Cantabria,-3.215,43.3844,Europe/Madrid,33450,
14640,Chimbarongo,Chimbarongo,Chile,Libertador General Bernardo O’Higgins,-71.0403,-34.7089,America/Santiago,33446,
14641,Kolin,Kolin,Czechia,Středočeský Kraj,15.2006,50.0282,Europe/Prague,33444,
14642,Mangalam,Mangalam,India,Kerala,75.919,10.845,Asia/Kolkata,33442,
14643,Kamiimaizumi,Kamiimaizumi,Japan,Kanagawa,139.3633,35.553,Asia/Tokyo,33442,
14644,Poco Redondo,Poco Redondo,Brazil,Sergipe,-37.685,-9.8058,America/Sao_Paulo,33439,minor
14645,Santa Ana,Santa Ana,Venezuela,Nueva Esparta,-63.9221,11.068,America/Caracas,33435,minor
